divergence	divergence_value	haplotype	chromosome
4	1.24	Alt1	Chr2
5	1467	Alt1	Chr2
6	1574	Alt1	Chr2
7	1526	Alt1	Chr2
8	1407	Alt1	Chr2
9	1328	Alt1	Chr2
10	1489	Alt1	Chr2
11	1219	Alt1	Chr2
12	1017	Alt1	Chr2
13	1321	Alt1	Chr2
14	1342	Alt1	Chr2
15	1243	Alt1	Chr2
16	1223	Alt1	Chr2
17	1196	Alt1	Chr2
18	1045	Alt1	Chr2
19	1127	Alt1	Chr2
20	1159	Alt1	Chr2
21	992	Alt1	Chr2
22	1164	Alt1	Chr2
23	1167	Alt1	Chr2
24	725	Alt1	Chr2
25	639	Alt1	Chr2
26	545	Alt1	Chr2
27	589	Alt1	Chr2
28	616	Alt1	Chr2
29	369	Alt1	Chr2
30	0.26	Alt1	Chr2
31	206	Alt1	Chr2
32	131	Alt1	Chr2
33	47	Alt1	Chr2
34	43	Alt1	Chr2
35	11	Alt1	Chr2
36	1	Alt1	Chr2
37	0	Alt1	Chr2
38	0	Alt1	Chr2
39	0	Alt1	Chr2
40	0	Alt1	Chr2
0	1.26	Alt2	Chr2
1	571	Alt2	Chr2
2	1172	Alt2	Chr2
3	1737	Alt2	Chr2
4	1426	Alt2	Chr2
5	1555	Alt2	Chr2
6	1355	Alt2	Chr2
7	1264	Alt2	Chr2
8	1634	Alt2	Chr2
9	1.43	Alt2	Chr2
10	1442	Alt2	Chr2
11	1207	Alt2	Chr2
12	1278	Alt2	Chr2
13	1235	Alt2	Chr2
14	1.1	Alt2	Chr2
15	1029	Alt2	Chr2
16	1044	Alt2	Chr2
17	966	Alt2	Chr2
18	1079	Alt2	Chr2
19	1187	Alt2	Chr2
20	1066	Alt2	Chr2
21	995	Alt2	Chr2
22	1017	Alt2	Chr2
23	839	Alt2	Chr2
24	915	Alt2	Chr2
25	854	Alt2	Chr2
26	656	Alt2	Chr2
27	561	Alt2	Chr2
28	475	Alt2	Chr2
29	398	Alt2	Chr2
30	251	Alt2	Chr2
31	242	Alt2	Chr2
32	116	Alt2	Chr2
33	51	Alt2	Chr2
34	28	Alt2	Chr2
35	9	Alt2	Chr2
36	0.01	Alt2	Chr2
37	0	Alt2	Chr2
38	0	Alt2	Chr2
39	0	Alt2	Chr2
40	0	Alt2	Chr2
0	329	Alt1	Chr3
1	506	Alt1	Chr3
2	766	Alt1	Chr3
3	1284	Alt1	Chr3
4	1476	Alt1	Chr3
5	1667	Alt1	Chr3
6	1777	Alt1	Chr3
7	1.93	Alt1	Chr3
8	1.41	Alt1	Chr3
9	1168	Alt1	Chr3
10	1.15	Alt1	Chr3
11	1253	Alt1	Chr3
12	1.25	Alt1	Chr3
13	984	Alt1	Chr3
14	1013	Alt1	Chr3
15	981	Alt1	Chr3
16	939	Alt1	Chr3
17	1.05	Alt1	Chr3
18	1076	Alt1	Chr3
19	996	Alt1	Chr3
20	896	Alt1	Chr3
21	827	Alt1	Chr3
22	841	Alt1	Chr3
23	684	Alt1	Chr3
24	621	Alt1	Chr3
25	0.49	Alt1	Chr3
26	492	Alt1	Chr3
27	401	Alt1	Chr3
28	375	Alt1	Chr3
29	295	Alt1	Chr3
30	197	Alt1	Chr3
31	134	Alt1	Chr3
32	88	Alt1	Chr3
33	31	Alt1	Chr3
34	22	Alt1	Chr3
35	2	Alt1	Chr3
36	3	Alt1	Chr3
37	0	Alt1	Chr3
38	0	Alt1	Chr3
39	0	Alt1	Chr3
40	0	Alt1	Chr3
0	345	Alt2	Chr3
1	357	Alt2	Chr3
2	685	Alt2	Chr3
3	948	Alt2	Chr3
4	1088	Alt2	Chr3
5	1.35	Alt2	Chr3
6	1.3	Alt2	Chr3
7	1469	Alt2	Chr3
8	1422	Alt2	Chr3
9	1744	Alt2	Chr3
10	1.35	Alt2	Chr3
11	1222	Alt2	Chr3
12	1147	Alt2	Chr3
13	961	Alt2	Chr3
14	1135	Alt2	Chr3
15	916	Alt2	Chr3
16	926	Alt2	Chr3
17	859	Alt2	Chr3
18	868	Alt2	Chr3
19	868	Alt2	Chr3
20	893	Alt2	Chr3
21	992	Alt2	Chr3
22	789	Alt2	Chr3
23	827	Alt2	Chr3
24	837	Alt2	Chr3
25	622	Alt2	Chr3
26	476	Alt2	Chr3
27	509	Alt2	Chr3
28	343	Alt2	Chr3
29	194	Alt2	Chr3
30	206	Alt2	Chr3
31	137	Alt2	Chr3
32	107	Alt2	Chr3
33	33	Alt2	Chr3
34	23	Alt2	Chr3
35	18	Alt2	Chr3
36	4	Alt2	Chr3
37	0	Alt2	Chr3
38	0	Alt2	Chr3
39	0	Alt2	Chr3
40	0	Alt2	Chr3
0	0.87	Alt1	Chr4
1	593	Alt1	Chr4
2	828	Alt1	Chr4
3	1192	Alt1	Chr4
4	1414	Alt1	Chr4
5	1451	Alt1	Chr4
6	1638	Alt1	Chr4
7	1596	Alt1	Chr4
8	1402	Alt1	Chr4
9	1347	Alt1	Chr4
10	1117	Alt1	Chr4
11	1123	Alt1	Chr4
12	1309	Alt1	Chr4
13	1092	Alt1	Chr4
14	1011	Alt1	Chr4
15	1139	Alt1	Chr4
16	1455	Alt1	Chr4
17	1386	Alt1	Chr4
18	1.1	Alt1	Chr4
19	938	Alt1	Chr4
20	1092	Alt1	Chr4
21	1154	Alt1	Chr4
22	1.17	Alt1	Chr4
23	1127	Alt1	Chr4
24	858	Alt1	Chr4
25	842	Alt1	Chr4
26	756	Alt1	Chr4
27	616	Alt1	Chr4
28	645	Alt1	Chr4
29	446	Alt1	Chr4
30	305	Alt1	Chr4
31	0.29	Alt1	Chr4
32	165	Alt1	Chr4
33	111	Alt1	Chr4
34	59	Alt1	Chr4
35	8	Alt1	Chr4
36	0	Alt1	Chr4
37	0	Alt1	Chr4
38	0	Alt1	Chr4
39	0	Alt1	Chr4
40	0	Alt1	Chr4
0	284	Alt2	Chr4
1	0.41	Alt2	Chr4
2	827	Alt2	Chr4
3	0.83	Alt2	Chr4
4	1099	Alt2	Chr4
5	1243	Alt2	Chr4
6	1.27	Alt2	Chr4
7	1526	Alt2	Chr4
8	1537	Alt2	Chr4
9	1569	Alt2	Chr4
10	1561	Alt2	Chr4
11	1334	Alt2	Chr4
12	1163	Alt2	Chr4
13	1129	Alt2	Chr4
14	1148	Alt2	Chr4
15	1186	Alt2	Chr4
16	941	Alt2	Chr4
17	969	Alt2	Chr4
18	1035	Alt2	Chr4
19	1091	Alt2	Chr4
20	1.16	Alt2	Chr4
21	1162	Alt2	Chr4
22	1.03	Alt2	Chr4
23	1054	Alt2	Chr4
24	967	Alt2	Chr4
25	0.76	Alt2	Chr4
26	716	Alt2	Chr4
27	0.77	Alt2	Chr4
28	0.67	Alt2	Chr4
29	436	Alt2	Chr4
30	374	Alt2	Chr4
31	224	Alt2	Chr4
32	184	Alt2	Chr4
33	91	Alt2	Chr4
34	83	Alt2	Chr4
35	15	Alt2	Chr4
36	15	Alt2	Chr4
37	0	Alt2	Chr4
38	0	Alt2	Chr4
39	0	Alt2	Chr4
40	0	Alt2	Chr4
0	731	Alt1	Chr5
1	438	Alt1	Chr5
2	918	Alt1	Chr5
3	898	Alt1	Chr5
4	1058	Alt1	Chr5
5	993	Alt1	Chr5
6	1093	Alt1	Chr5
7	1138	Alt1	Chr5
8	1046	Alt1	Chr5
9	1.02	Alt1	Chr5
10	946	Alt1	Chr5
11	0.99	Alt1	Chr5
12	868	Alt1	Chr5
13	0.87	Alt1	Chr5
14	806	Alt1	Chr5
15	897	Alt1	Chr5
16	0.91	Alt1	Chr5
17	928	Alt1	Chr5
18	795	Alt1	Chr5
19	971	Alt1	Chr5
20	973	Alt1	Chr5
21	926	Alt1	Chr5
22	1052	Alt1	Chr5
23	976	Alt1	Chr5
24	933	Alt1	Chr5
25	621	Alt1	Chr5
26	486	Alt1	Chr5
27	463	Alt1	Chr5
28	457	Alt1	Chr5
29	406	Alt1	Chr5
30	232	Alt1	Chr5
31	0.2	Alt1	Chr5
32	107	Alt1	Chr5
33	61	Alt1	Chr5
34	21	Alt1	Chr5
35	7	Alt1	Chr5
36	5	Alt1	Chr5
37	0	Alt1	Chr5
38	0	Alt1	Chr5
39	0	Alt1	Chr5
40	0	Alt1	Chr5
0	221	Alt2	Chr5
1	297	Alt2	Chr5
2	563	Alt2	Chr5
3	613	Alt2	Chr5
4	901	Alt2	Chr5
5	919	Alt2	Chr5
6	1002	Alt2	Chr5
7	1272	Alt2	Chr5
8	1216	Alt2	Chr5
9	1105	Alt2	Chr5
10	1105	Alt2	Chr5
11	976	Alt2	Chr5
12	903	Alt2	Chr5
13	981	Alt2	Chr5
14	895	Alt2	Chr5
15	816	Alt2	Chr5
16	898	Alt2	Chr5
17	881	Alt2	Chr5
18	1019	Alt2	Chr5
19	828	Alt2	Chr5
20	856	Alt2	Chr5
21	844	Alt2	Chr5
22	854	Alt2	Chr5
23	877	Alt2	Chr5
24	756	Alt2	Chr5
25	635	Alt2	Chr5
26	468	Alt2	Chr5
27	601	Alt2	Chr5
28	388	Alt2	Chr5
29	0.4	Alt2	Chr5
30	334	Alt2	Chr5
31	205	Alt2	Chr5
32	0.13	Alt2	Chr5
33	57	Alt2	Chr5
34	23	Alt2	Chr5
35	1	Alt2	Chr5
36	2	Alt2	Chr5
37	1	Alt2	Chr5
38	2	Alt2	Chr5
39	0	Alt2	Chr5
40	0	Alt2	Chr5
0	198	Alt1	Chr6
1	184	Alt1	Chr6
2	0.27	Alt1	Chr6
3	372	Alt1	Chr6
4	405	Alt1	Chr6
5	293	Alt1	Chr6
6	448	Alt1	Chr6
7	372	Alt1	Chr6
8	478	Alt1	Chr6
9	0.36	Alt1	Chr6
10	435	Alt1	Chr6
11	407	Alt1	Chr6
12	447	Alt1	Chr6
13	515	Alt1	Chr6
14	481	Alt1	Chr6
15	493	Alt1	Chr6
16	529	Alt1	Chr6
17	632	Alt1	Chr6
18	662	Alt1	Chr6
19	676	Alt1	Chr6
20	649	Alt1	Chr6
21	646	Alt1	Chr6
22	0.62	Alt1	Chr6
23	554	Alt1	Chr6
24	368	Alt1	Chr6
25	374	Alt1	Chr6
26	269	Alt1	Chr6
27	158	Alt1	Chr6
28	198	Alt1	Chr6
29	53	Alt1	Chr6
30	42	Alt1	Chr6
31	84	Alt1	Chr6
32	83	Alt1	Chr6
33	13	Alt1	Chr6
34	0	Alt1	Chr6
35	0	Alt1	Chr6
36	0	Alt1	Chr6
37	0	Alt1	Chr6
38	0	Alt1	Chr6
39	0	Alt1	Chr6
40	0	Alt1	Chr6
0	626	Alt2	Chr6
1	245	Alt2	Chr6
2	0.68	Alt2	Chr6
3	665	Alt2	Chr6
4	649	Alt2	Chr6
5	672	Alt2	Chr6
6	808	Alt2	Chr6
7	595	Alt2	Chr6
8	675	Alt2	Chr6
9	613	Alt2	Chr6
10	709	Alt2	Chr6
11	575	Alt2	Chr6
12	512	Alt2	Chr6
13	661	Alt2	Chr6
14	582	Alt2	Chr6
15	556	Alt2	Chr6
16	634	Alt2	Chr6
17	804	Alt2	Chr6
18	794	Alt2	Chr6
19	729	Alt2	Chr6
20	723	Alt2	Chr6
21	745	Alt2	Chr6
22	728	Alt2	Chr6
23	629	Alt2	Chr6
24	633	Alt2	Chr6
25	496	Alt2	Chr6
26	0.36	Alt2	Chr6
27	282	Alt2	Chr6
28	188	Alt2	Chr6
29	195	Alt2	Chr6
30	229	Alt2	Chr6
31	76	Alt2	Chr6
32	31	Alt2	Chr6
33	26	Alt2	Chr6
34	23	Alt2	Chr6
35	1	Alt2	Chr6
36	2	Alt2	Chr6
37	0	Alt2	Chr6
38	0	Alt2	Chr6
39	0	Alt2	Chr6
40	0	Alt2	Chr6
0	226	Alt1	Chr7
1	196	Alt1	Chr7
2	386	Alt1	Chr7
3	502	Alt1	Chr7
4	0.62	Alt1	Chr7
5	654	Alt1	Chr7
6	689	Alt1	Chr7
7	667	Alt1	Chr7
8	0.66	Alt1	Chr7
9	642	Alt1	Chr7
10	645	Alt1	Chr7
11	592	Alt1	Chr7
12	572	Alt1	Chr7
13	642	Alt1	Chr7
14	706	Alt1	Chr7
15	845	Alt1	Chr7
16	769	Alt1	Chr7
17	902	Alt1	Chr7
18	996	Alt1	Chr7
19	0.98	Alt1	Chr7
20	901	Alt1	Chr7
21	901	Alt1	Chr7
22	856	Alt1	Chr7
23	652	Alt1	Chr7
24	642	Alt1	Chr7
25	595	Alt1	Chr7
26	355	Alt1	Chr7
27	355	Alt1	Chr7
28	277	Alt1	Chr7
29	0.19	Alt1	Chr7
30	133	Alt1	Chr7
31	129	Alt1	Chr7
32	46	Alt1	Chr7
33	41	Alt1	Chr7
34	27	Alt1	Chr7
35	1	Alt1	Chr7
36	2	Alt1	Chr7
37	0	Alt1	Chr7
38	0	Alt1	Chr7
39	0	Alt1	Chr7
40	0	Alt1	Chr7
0	211	Alt2	Chr7
1	221	Alt2	Chr7
2	422	Alt2	Chr7
3	485	Alt2	Chr7
4	543	Alt2	Chr7
5	617	Alt2	Chr7
6	629	Alt2	Chr7
7	0.72	Alt2	Chr7
8	0.79	Alt2	Chr7
9	755	Alt2	Chr7
10	712	Alt2	Chr7
11	715	Alt2	Chr7
12	676	Alt2	Chr7
13	688	Alt2	Chr7
14	683	Alt2	Chr7
15	811	Alt2	Chr7
16	824	Alt2	Chr7
17	825	Alt2	Chr7
18	858	Alt2	Chr7
19	0.94	Alt2	Chr7
20	884	Alt2	Chr7
21	852	Alt2	Chr7
22	0.81	Alt2	Chr7
23	772	Alt2	Chr7
24	708	Alt2	Chr7
25	526	Alt2	Chr7
26	521	Alt2	Chr7
27	325	Alt2	Chr7
28	251	Alt2	Chr7
29	202	Alt2	Chr7
30	159	Alt2	Chr7
31	0.13	Alt2	Chr7
32	91	Alt2	Chr7
33	0.03	Alt2	Chr7
34	8	Alt2	Chr7
35	5	Alt2	Chr7
36	2	Alt2	Chr7
37	1	Alt2	Chr7
38	0	Alt2	Chr7
39	0	Alt2	Chr7
40	0	Alt2	Chr7
0	192	Alt1	Chr8
1	222	Alt1	Chr8
2	346	Alt1	Chr8
3	482	Alt1	Chr8
4	548	Alt1	Chr8
5	587	Alt1	Chr8
6	487	Alt1	Chr8
7	514	Alt1	Chr8
8	724	Alt1	Chr8
9	654	Alt1	Chr8
10	608	Alt1	Chr8
11	538	Alt1	Chr8
12	545	Alt1	Chr8
13	0.54	Alt1	Chr8
14	614	Alt1	Chr8
15	607	Alt1	Chr8
16	623	Alt1	Chr8
17	771	Alt1	Chr8
18	709	Alt1	Chr8
19	0.78	Alt1	Chr8
20	656	Alt1	Chr8
21	658	Alt1	Chr8
22	589	Alt1	Chr8
23	621	Alt1	Chr8
24	518	Alt1	Chr8
25	408	Alt1	Chr8
26	376	Alt1	Chr8
27	248	Alt1	Chr8
28	265	Alt1	Chr8
29	174	Alt1	Chr8
30	148	Alt1	Chr8
31	86	Alt1	Chr8
32	53	Alt1	Chr8
33	29	Alt1	Chr8
34	9	Alt1	Chr8
35	1	Alt1	Chr8
36	0	Alt1	Chr8
37	0	Alt1	Chr8
38	0	Alt1	Chr8
39	0	Alt1	Chr8
40	0	Alt1	Chr8
0	219	Alt2	Chr8
1	0.16	Alt2	Chr8
2	0.32	Alt2	Chr8
3	523	Alt2	Chr8
4	472	Alt2	Chr8
5	502	Alt2	Chr8
6	0.42	Alt2	Chr8
7	688	Alt2	Chr8
8	697	Alt2	Chr8
9	0.6	Alt2	Chr8
10	596	Alt2	Chr8
11	562	Alt2	Chr8
12	659	Alt2	Chr8
13	586	Alt2	Chr8
14	617	Alt2	Chr8
15	624	Alt2	Chr8
16	574	Alt2	Chr8
17	713	Alt2	Chr8
18	782	Alt2	Chr8
19	659	Alt2	Chr8
20	0.69	Alt2	Chr8
21	712	Alt2	Chr8
22	646	Alt2	Chr8
23	598	Alt2	Chr8
24	0.55	Alt2	Chr8
25	515	Alt2	Chr8
26	0.42	Alt2	Chr8
27	317	Alt2	Chr8
28	178	Alt2	Chr8
29	156	Alt2	Chr8
30	157	Alt2	Chr8
31	92	Alt2	Chr8
32	76	Alt2	Chr8
33	0.03	Alt2	Chr8
34	5	Alt2	Chr8
35	5	Alt2	Chr8
36	2	Alt2	Chr8
37	0	Alt2	Chr8
38	0	Alt2	Chr8
39	0	Alt2	Chr8
40	0	Alt2	Chr8
0	794	Alt1	Chr9
1	413	Alt1	Chr9
2	742	Alt1	Chr9
3	1063	Alt1	Chr9
4	1088	Alt1	Chr9
5	1095	Alt1	Chr9
6	1083	Alt1	Chr9
7	1171	Alt1	Chr9
8	994	Alt1	Chr9
9	1061	Alt1	Chr9
10	967	Alt1	Chr9
11	765	Alt1	Chr9
12	0.99	Alt1	Chr9
13	1503	Alt1	Chr9
14	1012	Alt1	Chr9
15	936	Alt1	Chr9
16	992	Alt1	Chr9
17	957	Alt1	Chr9
18	986	Alt1	Chr9
19	874	Alt1	Chr9
20	854	Alt1	Chr9
21	903	Alt1	Chr9
22	983	Alt1	Chr9
23	727	Alt1	Chr9
24	682	Alt1	Chr9
25	763	Alt1	Chr9
26	607	Alt1	Chr9
27	507	Alt1	Chr9
28	364	Alt1	Chr9
29	297	Alt1	Chr9
30	269	Alt1	Chr9
31	0.17	Alt1	Chr9
32	131	Alt1	Chr9
33	49	Alt1	Chr9
34	38	Alt1	Chr9
35	18	Alt1	Chr9
36	1	Alt1	Chr9
37	1	Alt1	Chr9
38	0	Alt1	Chr9
39	0	Alt1	Chr9
40	0	Alt1	Chr9
0	622	Alt2	Chr9
1	302	Alt2	Chr9
2	793	Alt2	Chr9
3	1014	Alt2	Chr9
4	898	Alt2	Chr9
5	1144	Alt2	Chr9
6	1094	Alt2	Chr9
7	1189	Alt2	Chr9
8	0.96	Alt2	Chr9
9	1121	Alt2	Chr9
10	1058	Alt2	Chr9
11	851	Alt2	Chr9
12	817	Alt2	Chr9
13	912	Alt2	Chr9
14	848	Alt2	Chr9
15	872	Alt2	Chr9
16	914	Alt2	Chr9
17	897	Alt2	Chr9
18	939	Alt2	Chr9
19	926	Alt2	Chr9
20	913	Alt2	Chr9
21	951	Alt2	Chr9
22	1077	Alt2	Chr9
23	956	Alt2	Chr9
24	793	Alt2	Chr9
25	689	Alt2	Chr9
26	528	Alt2	Chr9
27	403	Alt2	Chr9
28	0.32	Alt2	Chr9
29	299	Alt2	Chr9
30	258	Alt2	Chr9
31	129	Alt2	Chr9
32	98	Alt2	Chr9
33	98	Alt2	Chr9
34	38	Alt2	Chr9
35	2	Alt2	Chr9
36	2	Alt2	Chr9
37	1	Alt2	Chr9
38	0	Alt2	Chr9
39	0	Alt2	Chr9
40	0	Alt2	Chr9
